,longitude,latitude,housing_age,total_rooms,total_bedrooms,population,families,average_income,ocean_proximity,house_value
5682,-118.29,33.72,39,2651,590.0,1103,508,3.2739999999999996,NEAR OCEAN,254300
5683,-118.29,33.72,21,1568,452.0,801,422,3.5109,NEAR OCEAN,225000
5684,-118.28,33.68,8,2842,522.0,1624,510,3.7282,NEAR OCEAN,287500
8049,-118.17,33.83,45,2019,363.0,880,339,4.1023,NEAR OCEAN,217300
8051,-118.18,33.84,35,1415,294.0,591,291,2.9798,NEAR OCEAN,315600
8052,-118.19,33.84,44,2731,577.0,1396,555,4.1771,NEAR OCEAN,219100
8062,-118.2,33.83,35,3737,613.0,1305,583,7.2096,NEAR OCEAN,490300
8063,-118.19,33.83,43,2641,411.0,1011,444,6.4468,NEAR OCEAN,444200
8064,-118.19,33.83,42,1773,360.0,815,299,4.9,NEAR OCEAN,406300
8065,-118.17,33.83,45,1808,315.0,800,302,4.8693,NEAR OCEAN,277700
8066,-118.17,33.83,46,1362,214.0,531,222,4.3125,NEAR OCEAN,290500
8067,-118.18,33.83,44,1497,277.0,542,274,5.0052,NEAR OCEAN,321800
8068,-118.18,33.83,45,1535,274.0,591,276,4.2411,NEAR OCEAN,371700
8069,-118.18,33.83,39,3622,745.0,1330,648,3.3125,NEAR OCEAN,425500
8070,-118.18,33.84,43,2561,544.0,1063,537,3.835,NEAR OCEAN,418600
8071,-118.17,33.82,50,3587,693.0,1513,651,5.5106,NEAR OCEAN,252200
8072,-118.17,33.82,52,2539,497.0,1152,488,4.1354,NEAR OCEAN,268200
8073,-118.18,33.83,52,2569,484.0,1030,451,4.1301,NEAR OCEAN,268400
8074,-118.18,33.82,52,2618,472.0,943,440,3.7895,NEAR OCEAN,254000
8075,-118.18,33.82,43,284,65.0,167,68,4.25,NEAR OCEAN,207500
8076,-118.19,33.83,30,2246,552.0,1032,548,3.5871,NEAR OCEAN,347100
8077,-118.19,33.82,19,2953,895.0,1914,855,3.5521,NEAR OCEAN,290000
8078,-118.2,33.82,21,2251,452.0,913,420,4.6042,NEAR OCEAN,272200
8085,-118.2,33.81,45,944,178.0,533,193,3.4808,NEAR OCEAN,206900
8086,-118.2,33.81,46,1388,254.0,742,241,4.6458,NEAR OCEAN,212100
8087,-118.2,33.81,47,2347,437.0,1219,420,5.3096,NEAR OCEAN,209900
8116,-118.2,33.8,45,2456,495.0,1300,450,3.9792,NEAR OCEAN,210200
8125,-118.18,33.82,43,2210,469.0,1042,418,3.5,NEAR OCEAN,216700
8168,-118.15,33.8,44,1886,399.0,1167,372,3.1042,NEAR OCEAN,219800
8188,-118.13,33.79,29,2937,524.0,1132,528,4.6133,NEAR OCEAN,500001
8189,-118.13,33.78,31,3039,739.0,1199,697,3.7232,NEAR OCEAN,500001
8190,-118.13,33.79,36,1245,211.0,508,221,5.3441,NEAR OCEAN,480600
8193,-118.13,33.79,44,2153,375.0,947,364,5.0072,NEAR OCEAN,236200
8194,-118.13,33.79,45,2317,448.0,1057,428,4.375,NEAR OCEAN,234800
8195,-118.14,33.79,45,1519,263.0,681,267,4.6452,NEAR OCEAN,212500
8196,-118.13,33.79,20,6678,1797.0,3625,1599,3.7716,NEAR OCEAN,242900
8199,-118.14,33.79,23,2573,688.0,1478,604,3.4833,NEAR OCEAN,209400
8200,-118.14,33.79,44,2388,619.0,1461,592,3.1711,NEAR OCEAN,215400
8201,-118.14,33.78,44,2101,496.0,1038,500,3.108,NEAR OCEAN,217900
8223,-118.19,33.78,21,2741,1029.0,2924,969,1.3274,NEAR OCEAN,218800
8260,-118.17,33.77,37,1127,327.0,492,331,2.675,NEAR OCEAN,241700
8261,-118.18,33.74,30,5915,1750.0,2136,1503,4.0968,NEAR OCEAN,310000
8262,-118.17,33.77,45,2151,643.0,1047,579,3.1149,NEAR OCEAN,218800
8263,-118.17,33.77,45,2143,697.0,1004,594,3.0153,NEAR OCEAN,220000
8264,-118.18,33.77,37,2653,754.0,1087,698,2.3523,NEAR OCEAN,325000
8267,-118.16,33.77,49,3382,787.0,1314,756,3.8125,NEAR OCEAN,382100
8268,-118.17,33.74,36,2006,453.0,807,426,3.7838,NEAR OCEAN,500001
8269,-118.16,33.77,30,4439,1105.0,1749,1011,3.8984,NEAR OCEAN,306300
8270,-118.15,33.77,39,2428,634.0,1312,612,2.7212,NEAR OCEAN,266300
8271,-118.16,33.77,30,2800,757.0,1292,742,2.7614,NEAR OCEAN,272200
8272,-118.16,33.77,38,3235,769.0,1284,752,2.9384,NEAR OCEAN,304100
8273,-118.16,33.77,29,3078,786.0,1460,736,2.875,NEAR OCEAN,232500
8274,-118.17,33.77,25,4405,1262.0,2178,1090,3.0503,NEAR OCEAN,225000
8276,-118.16,33.78,39,4075,1085.0,2470,1025,2.3317,NEAR OCEAN,222500
8277,-118.16,33.78,52,3248,853.0,1819,815,3.1739,NEAR OCEAN,222900
8279,-118.15,33.78,13,3056,861.0,1600,824,3.3003,NEAR OCEAN,207800
8281,-118.15,33.78,35,2768,752.0,1277,651,3.6193,NEAR OCEAN,250000
8282,-118.14,33.78,42,1898,488.0,940,483,3.4107,NEAR OCEAN,233300
8283,-118.13,33.78,45,1016,172.0,361,163,7.5,NEAR OCEAN,434500
8284,-118.14,33.77,49,2792,690.0,1301,648,3.2917,NEAR OCEAN,307400
8285,-118.14,33.77,51,2812,621.0,1171,566,3.875,NEAR OCEAN,342900
8286,-118.15,33.77,52,2204,498.0,899,445,4.1765,NEAR OCEAN,393900
8287,-118.15,33.77,41,3448,896.0,1621,838,4.5,NEAR OCEAN,339800
8288,-118.15,33.77,27,3043,787.0,1398,747,3.5528,NEAR OCEAN,271100
8289,-118.14,33.76,37,3242,698.0,1080,629,3.9010000000000002,NEAR OCEAN,432500
8290,-118.16,33.72,29,2743,708.0,1059,651,3.625,NEAR OCEAN,500000
8291,-118.15,33.76,36,2916,785.0,1183,749,3.5985,NEAR OCEAN,500001
8292,-118.15,33.77,36,4366,1211.0,1912,1172,3.5292,NEAR OCEAN,361800
8293,-118.13,33.76,52,2216,526.0,940,530,4.5469,NEAR OCEAN,381000
8294,-118.13,33.76,44,1543,463.0,652,406,4.25,NEAR OCEAN,439300
8295,-118.14,33.75,39,1995,634.0,867,567,4.0795,NEAR OCEAN,400000
8296,-118.14,33.76,52,2677,642.0,1144,624,4.3889,NEAR OCEAN,378000
8297,-118.14,33.76,50,2960,761.0,1179,718,3.5214,NEAR OCEAN,398100
8298,-118.14,33.76,44,1633,536.0,741,513,3.385,NEAR OCEAN,408300
8299,-118.14,33.77,52,2208,409.0,791,408,5.8408,NEAR OCEAN,500000
8300,-118.14,33.76,50,914,167.0,322,165,4.7361,NEAR OCEAN,418800
8301,-118.13,33.76,46,2834,673.0,1175,670,4.7875,NEAR OCEAN,363800
8302,-118.13,33.76,44,2532,621.0,961,550,3.9352,NEAR OCEAN,406900
8303,-118.12,33.76,43,3070,668.0,1240,646,3.7813,NEAR OCEAN,461500
8304,-118.12,33.75,47,3330,569.0,1220,557,7.3672,NEAR OCEAN,500001
8305,-118.12,33.76,45,3035,516.0,1127,527,7.0796,NEAR OCEAN,500001
8306,-118.12,33.75,41,2072,491.0,742,414,3.9934,NEAR OCEAN,500001
8307,-118.14,33.71,36,2484,525.0,792,446,5.1815,NEAR OCEAN,500001
8308,-118.1,33.76,15,4690,1002.0,1879,974,5.6051,NEAR OCEAN,267400
8309,-118.11,33.77,15,9103,1847.0,3333,1712,5.1508,NEAR OCEAN,367300
8310,-118.12,33.77,20,4534,954.0,1941,892,6.0362,NEAR OCEAN,463500
8311,-118.12,33.77,10,7264,1137.0,2528,1057,10.2233,NEAR OCEAN,500001
8312,-118.13,33.77,52,3697,691.0,1436,671,4.6852,NEAR OCEAN,395200
8313,-118.13,33.77,37,4365,926.0,1661,868,5.3046,NEAR OCEAN,360700
8552,-118.3,33.74,40,1896,416.0,950,383,2.425,NEAR OCEAN,255000
8553,-118.3,33.74,28,1065,215.0,887,217,3.9375,NEAR OCEAN,270500
8574,-118.44,33.88,35,2020,451.0,724,399,6.6494,NEAR OCEAN,500001
8639,-118.43,33.87,41,847,173.0,344,170,6.822,NEAR OCEAN,500001
8642,-118.43,33.86,34,358,87.0,162,84,7.1264,NEAR OCEAN,500001
8655,-118.42,33.85,43,1584,477.0,799,433,5.0322,NEAR OCEAN,435000
8659,-118.41,33.85,16,6123,1989.0,2853,1789,4.425,NEAR OCEAN,336400
8666,-118.43,33.83,19,6206,1611.0,2455,1472,5.145,NEAR OCEAN,420200
8667,-118.39,33.83,32,2075,539.0,954,519,5.6370000000000005,NEAR OCEAN,500001
8668,-118.39,33.82,30,3433,918.0,1526,828,4.5817,NEAR OCEAN,500001
8669,-118.43,33.82,34,2112,614.0,946,574,4.6048,NEAR OCEAN,500001
8671,-118.38,33.82,35,3053,623.0,1311,589,5.1589,NEAR OCEAN,439200
8672,-118.38,33.82,38,1318,237.0,547,225,6.0308,NEAR OCEAN,416700
8757,-118.37,33.81,36,2031,339.0,817,337,5.1271,NEAR OCEAN,458300
8758,-118.38,33.81,33,2349,407.0,954,373,6.4956,NEAR OCEAN,483600
8759,-118.38,33.81,20,1975,306.0,703,292,8.5491,NEAR OCEAN,410300
8760,-118.44,33.81,33,3994,990.0,1647,931,5.0106,NEAR OCEAN,500001
8761,-118.38,33.82,34,1822,364.0,750,366,5.9907,NEAR OCEAN,500001
8763,-118.37,33.81,33,5057,790.0,2021,748,6.8553,NEAR OCEAN,482200
8764,-118.37,33.81,36,1283,209.0,563,209,6.9296,NEAR OCEAN,500001
8765,-118.38,33.81,41,1889,301.0,802,278,6.015,NEAR OCEAN,488500
8766,-118.38,33.81,39,2400,373.0,877,372,5.7361,NEAR OCEAN,500001
8767,-118.39,33.81,35,1008,165.0,391,167,3.7778,NEAR OCEAN,487500
8768,-118.38,33.81,36,1018,148.0,329,169,10.5045,NEAR OCEAN,500001
8786,-118.34,33.78,25,11016,1626.0,4168,1584,8.1782,NEAR OCEAN,500001
8787,-118.36,33.79,34,5166,704.0,2071,668,8.3609,NEAR OCEAN,500001
8788,-118.37,33.79,36,1596,234.0,654,223,8.2064,NEAR OCEAN,500001
8789,-118.36,33.8,38,2553,400.0,1042,393,6.9742,NEAR OCEAN,500001
8790,-118.36,33.8,34,2629,369.0,966,375,10.1241,NEAR OCEAN,500001
8791,-118.38,33.8,36,4421,702.0,1433,624,8.0838,NEAR OCEAN,500001
8792,-118.45,33.8,31,4803,575.0,1490,577,11.9993,NEAR OCEAN,500001
8793,-118.39,33.79,30,4402,563.0,1582,551,10.898,NEAR OCEAN,500001
8794,-118.4,33.78,24,4787,562.0,1653,548,12.9758,NEAR OCEAN,500001
8795,-118.44,33.79,27,2141,260.0,635,240,11.6648,NEAR OCEAN,500001
8796,-118.41,33.77,22,7554,991.0,2808,946,10.06,NEAR OCEAN,500001
8797,-118.46,33.77,28,3065,406.0,1101,391,10.5536,NEAR OCEAN,500001
8798,-118.42,33.78,36,2093,303.0,802,300,8.0957,NEAR OCEAN,500001
8799,-118.37,33.77,26,6339,876.0,2540,880,10.1447,NEAR OCEAN,500001
8800,-118.38,33.77,21,11353,1537.0,4649,1504,9.821,NEAR OCEAN,500001
8801,-118.38,33.77,17,10950,2207.0,4713,2043,6.3064,NEAR OCEAN,418300
8802,-118.38,33.79,32,10445,1620.0,4474,1576,7.7042,NEAR OCEAN,500001
8803,-118.4,33.78,26,5005,776.0,2357,790,8.5421,NEAR OCEAN,500001
8804,-118.42,33.75,22,17591,2604.0,6897,2492,8.2831,NEAR OCEAN,500001
8805,-118.34,33.76,34,5586,674.0,1871,636,15.0001,NEAR OCEAN,500001
8806,-118.35,33.74,25,8272,1132.0,3392,1132,10.0973,NEAR OCEAN,500001
8807,-118.38,33.75,23,8277,1290.0,3176,1159,7.6986,NEAR OCEAN,500001
8808,-118.39,33.71,18,1193,233.0,475,228,7.5594,NEAR OCEAN,500001
8809,-118.41,33.75,4,311,51.0,128,46,9.8091,NEAR OCEAN,500001
8812,-118.31,33.75,36,2715,474.0,1303,457,4.6042,NEAR OCEAN,357300
8813,-118.31,33.75,34,2338,393.0,1031,373,6.287000000000001,NEAR OCEAN,396400
8814,-118.33,33.77,33,4244,595.0,1534,557,9.8214,NEAR OCEAN,500001
8815,-118.32,33.75,33,2996,398.0,1048,387,9.267000000000001,NEAR OCEAN,500001
8816,-118.32,33.75,37,1080,135.0,366,142,11.6677,NEAR OCEAN,500001
8817,-118.32,33.74,24,6097,794.0,2248,806,10.1357,NEAR OCEAN,500001
9010,-118.69,34.08,23,204,40.0,117,41,9.7646,NEAR OCEAN,500001
9011,-118.66,34.1,12,2560,365.0,907,366,10.076,NEAR OCEAN,500001
9014,-118.68,34.08,18,102,17.0,55,21,3.9934,NEAR OCEAN,500001
9016,-118.76,34.13,10,4355,716.0,2030,674,6.5571,NEAR OCEAN,500001
9017,-118.75,34.1,34,2255,402.0,857,317,4.5333,NEAR OCEAN,377300
9018,-118.72,34.14,7,23866,4407.0,9873,4012,5.4032,NEAR OCEAN,318500
9019,-118.78,34.16,9,30405,4093.0,12873,3931,8.0137,NEAR OCEAN,399200
9020,-118.8,34.15,9,1143,179.0,647,180,6.8474,NEAR OCEAN,356700
9021,-118.75,34.17,16,2950,387.0,1228,379,5.3749,NEAR OCEAN,346100
9022,-118.84,34.11,12,7508,1058.0,2484,965,5.8788,NEAR OCEAN,500001
9023,-118.82,34.14,22,11668,1730.0,4054,1671,6.9935,NEAR OCEAN,385500
9024,-118.79,34.14,7,3003,504.0,1143,466,5.8548,NEAR OCEAN,500001
9025,-118.74,34.05,19,3487,686.0,2782,584,7.9184,NEAR OCEAN,500001
9026,-118.86,34.07,16,1409,244.0,970,172,8.0144,NEAR OCEAN,500001
9027,-118.88,34.02,19,15990,2611.0,5175,2173,7.7848,NEAR OCEAN,500001
9028,-118.85,34.04,21,3837,578.0,1509,509,8.4476,NEAR OCEAN,500001
9029,-118.78,34.05,28,1343,215.0,487,199,6.83,NEAR OCEAN,500001
9031,-118.6,34.02,36,2043,467.0,606,326,8.4331,NEAR OCEAN,500001
9032,-118.62,34.06,25,3546,584.0,1530,601,7.4001,NEAR OCEAN,500001
9033,-118.66,34.02,23,8798,1465.0,2750,1208,8.7364,NEAR OCEAN,500001
9332,-122.64,38.01,36,1336,258.0,678,249,5.5789,NEAR OCEAN,292000
9333,-122.64,38.01,36,1199,232.0,551,229,3.7321,NEAR OCEAN,266700
9334,-122.68,38.01,41,1865,392.0,825,369,4.2011,NEAR OCEAN,255400
9335,-122.7,38.03,42,1410,308.0,624,292,4.1379,NEAR OCEAN,309100
9336,-122.65,38.01,40,1428,280.0,708,255,5.0766,NEAR OCEAN,305400
9337,-122.59,37.97,46,4036,856.0,1872,833,4.5625,NEAR OCEAN,275200
9338,-122.61,37.99,40,7737,1488.0,3108,1349,4.4375,NEAR OCEAN,289600
9339,-122.62,37.97,52,370,62.0,150,56,7.7006,NEAR OCEAN,316700
9353,-122.56,37.95,34,2677,411.0,933,410,6.1444,NEAR OCEAN,500001
9355,-122.64,37.96,29,377,58.0,151,67,9.5551,NEAR OCEAN,500001
9420,-122.62,37.85,30,833,164.0,358,143,6.8198,NEAR OCEAN,493800
9422,-122.66,37.93,42,1505,324.0,553,277,4.1792,NEAR OCEAN,350000
9423,-122.71,37.88,21,2845,552.0,599,250,4.3125,NEAR OCEAN,495800
9424,-122.69,37.91,43,1730,326.0,629,279,4.3194,NEAR OCEAN,238700
9425,-122.71,37.9,23,1250,257.0,437,188,3.115,NEAR OCEAN,242600
9426,-122.86,38.1,44,2602,509.0,691,343,4.3125,NEAR OCEAN,261500
9427,-122.84,38.07,31,1858,367.0,701,297,3.8269,NEAR OCEAN,270700
9429,-122.68,38.07,26,1445,244.0,510,207,5.6305,NEAR OCEAN,430000
9431,-122.96,38.26,20,1982,358.0,308,132,3.1429,NEAR OCEAN,240900
9432,-122.81,38.08,19,1615,366.0,815,337,3.4609,NEAR OCEAN,238800
9433,-122.8,38.18,36,2378,476.0,957,362,3.625,NEAR OCEAN,253100
9497,-123.81,39.31,23,2754,577.0,887,432,3.3654,NEAR OCEAN,225000
9718,-121.77,36.87,37,424,65.0,266,64,3.3472,NEAR OCEAN,293800
9789,-121.91,36.42,14,1078,261.0,382,171,3.7083,NEAR OCEAN,210000
9790,-121.84,36.25,20,958,245.0,590,189,2.6094,NEAR OCEAN,362500
9791,-121.62,36.14,25,726,274.0,411,214,3.2375,NEAR OCEAN,450000
9792,-121.87,36.55,20,10053,1768.0,3083,1621,5.1506,NEAR OCEAN,387500
9795,-121.84,36.52,18,3165,533.0,1312,434,6.5234,NEAR OCEAN,357400
9796,-121.88,36.49,28,2830,458.0,898,370,5.8142,NEAR OCEAN,500001
9797,-121.92,36.57,42,3944,738.0,1374,598,4.1739999999999995,NEAR OCEAN,394400
9798,-121.91,36.55,39,5468,834.0,1782,712,5.7248,NEAR OCEAN,398800
9799,-121.92,36.54,33,5323,887.0,1670,740,3.9792,NEAR OCEAN,468000
9800,-121.92,36.56,40,2124,449.0,643,341,5.5164,NEAR OCEAN,369100
9801,-121.94,36.55,30,2722,584.0,628,384,3.4048,NEAR OCEAN,487100
9802,-121.92,36.56,39,2144,538.0,749,419,2.7039,NEAR OCEAN,364000
9803,-121.92,36.55,37,2190,419.0,490,300,3.7852,NEAR OCEAN,465800
9804,-121.92,36.55,44,3494,635.0,693,415,3.6,NEAR OCEAN,452800
9805,-121.92,36.55,52,2616,483.0,582,313,3.275,NEAR OCEAN,500001
9806,-121.95,36.61,31,1736,250.0,497,170,6.3835,NEAR OCEAN,407800
9807,-121.93,36.59,25,2201,353.0,622,295,5.0621,NEAR OCEAN,386500
9808,-121.95,36.6,32,3152,504.0,793,426,7.1198,NEAR OCEAN,469900
9809,-121.95,36.59,22,3553,530.0,1108,441,5.8505,NEAR OCEAN,417100
9810,-121.94,36.58,23,4911,693.0,1480,606,6.777,NEAR OCEAN,500000
9811,-121.94,36.57,28,3153,409.0,569,271,14.4113,NEAR OCEAN,500001
9812,-121.93,36.6,33,3455,683.0,1704,663,4.0154,NEAR OCEAN,225700
9813,-121.92,36.61,29,3735,808.0,1873,757,3.1543,NEAR OCEAN,253800
9814,-121.93,36.62,34,2351,,1063,428,3.725,NEAR OCEAN,278000
9815,-121.92,36.61,27,3044,661.0,1229,618,3.1359,NEAR OCEAN,268000
9816,-121.93,36.62,39,869,173.0,406,165,4.0313,NEAR OCEAN,253800
9817,-121.92,36.62,52,974,190.0,403,181,4.3281,NEAR OCEAN,236500
9818,-121.92,36.62,52,1001,191.0,425,184,3.7614,NEAR OCEAN,241700
9819,-121.92,36.62,47,1811,401.0,948,375,3.0379,NEAR OCEAN,249300
9821,-121.92,36.62,52,867,199.0,391,187,2.6713,NEAR OCEAN,234600
9822,-121.92,36.62,52,1410,303.0,578,285,2.5625,NEAR OCEAN,235400
9823,-121.92,36.62,52,728,161.0,313,142,3.4327,NEAR OCEAN,254500
9827,-121.92,36.62,52,2584,599.0,790,444,2.5263,NEAR OCEAN,286400
9831,-121.93,36.63,28,3983,852.0,1582,778,3.5147,NEAR OCEAN,313900
9832,-121.93,36.63,33,1740,342.0,638,329,3.1912,NEAR OCEAN,319800
9834,-121.93,36.63,41,1049,198.0,428,183,4.3571,NEAR OCEAN,287500
9837,-121.9,36.61,29,3412,827.0,1574,759,2.9309,NEAR OCEAN,217100
9838,-121.91,36.61,30,2755,597.0,1519,554,3.2952,NEAR OCEAN,234600
9839,-121.92,36.61,27,1619,352.0,831,344,4.3,NEAR OCEAN,226400
9840,-121.92,36.61,21,1242,340.0,834,362,2.4922,NEAR OCEAN,243800
9841,-121.9,36.6,39,1629,423.0,804,386,2.4663,NEAR OCEAN,236500
9842,-121.9,36.6,33,2461,649.0,1234,601,2.8727,NEAR OCEAN,225000
9843,-121.9,36.6,45,2249,412.0,944,429,3.0625,NEAR OCEAN,260300
9844,-121.9,36.59,42,2689,510.0,1023,459,4.6182,NEAR OCEAN,301000
9845,-121.9,36.58,31,1431,,704,393,3.1977,NEAR OCEAN,289300
9846,-121.91,36.59,31,2034,335.0,966,322,4.6964,NEAR OCEAN,291300
9847,-121.91,36.6,35,2605,410.0,1110,406,5.5519,NEAR OCEAN,329500
9848,-121.91,36.59,17,5039,833.0,1678,710,6.2323,NEAR OCEAN,339100
9854,-121.89,36.59,32,784,112.0,262,114,6.917999999999999,NEAR OCEAN,500001
9855,-121.88,36.58,29,4910,871.0,3438,904,4.0432,NEAR OCEAN,450000
10418,-117.62,33.42,23,2656,515.0,998,435,4.0294,NEAR OCEAN,500001
10419,-117.63,33.38,12,5744,1054.0,2104,847,5.1482,NEAR OCEAN,500001
10420,-117.61,33.41,35,2556,404.0,946,399,6.1557,NEAR OCEAN,402900
10421,-117.61,33.42,31,3959,856.0,1919,775,4.0313,NEAR OCEAN,282000
10422,-117.6,33.41,29,2193,389.0,922,387,4.5476,NEAR OCEAN,309200
10423,-117.62,33.47,4,1812,255.0,661,211,6.487,NEAR OCEAN,294200
10424,-117.63,33.45,5,3549,604.0,1571,534,5.3705,NEAR OCEAN,363500
10425,-117.63,33.47,4,1969,280.0,805,271,7.6012,NEAR OCEAN,310800
10426,-117.61,33.45,6,950,184.0,426,186,4.7237,NEAR OCEAN,220700
10427,-117.63,33.46,7,7684,1088.0,2812,1057,6.3401,NEAR OCEAN,387300
10428,-117.64,33.45,26,1528,,607,218,6.2871,NEAR OCEAN,325500
10429,-117.65,33.42,25,2174,428.0,603,352,3.3967,NEAR OCEAN,249400
10430,-117.64,33.45,27,334,56.0,130,46,4.875,NEAR OCEAN,284100
10431,-117.62,33.43,27,1835,413.0,1221,377,3.2232,NEAR OCEAN,247100
10432,-117.62,33.43,27,3858,1062.0,2321,873,3.3155,NEAR OCEAN,231000
10433,-117.62,33.43,24,1296,384.0,850,367,2.7545,NEAR OCEAN,231300
10434,-117.65,33.4,17,2737,654.0,910,492,3.5729,NEAR OCEAN,370800
10435,-117.62,33.43,23,4052,955.0,1950,859,4.0647,NEAR OCEAN,240600
10438,-117.62,33.42,27,1444,412.0,597,311,3.1395,NEAR OCEAN,310000
10439,-117.6,33.45,4,2369,566.0,996,435,5.4031,NEAR OCEAN,243800
10440,-117.59,33.44,3,5813,1264.0,2363,1041,4.3897,NEAR OCEAN,341300
10441,-117.59,33.4,22,3167,743.0,1797,642,4.0076,NEAR OCEAN,252100
10442,-117.59,33.41,17,2248,448.0,878,423,5.1298,NEAR OCEAN,246000
10443,-117.6,33.42,23,2482,461.0,1048,425,4.665,NEAR OCEAN,280600
10444,-117.61,33.43,24,2303,399.0,851,379,3.9875,NEAR OCEAN,346500
10445,-117.6,33.43,21,3951,562.0,1392,543,5.1439,NEAR OCEAN,414000
10446,-117.61,33.44,17,2036,272.0,713,265,6.5954,NEAR OCEAN,346200
10447,-117.59,33.43,14,3223,484.0,1230,488,6.5964,NEAR OCEAN,358800
10460,-117.63,33.47,4,2320,405.0,1408,477,6.3369,NEAR OCEAN,256000
10463,-117.65,33.45,15,7468,1275.0,3033,1217,5.49,NEAR OCEAN,239300
10739,-117.92,33.57,37,3355,492.0,921,366,7.2988,NEAR OCEAN,500001
10802,-117.96,33.6,34,959,230.0,384,197,5.2333,NEAR OCEAN,471400
11435,-117.97,33.63,25,2482,360.0,960,352,6.1572,NEAR OCEAN,344000
11439,-117.98,33.61,17,2054,291.0,836,288,6.8939,NEAR OCEAN,383900
11453,-118.01,33.67,13,2902,536.0,1125,490,5.888,NEAR OCEAN,447700
11454,-118.01,33.67,16,3581,780.0,1644,774,5.041,NEAR OCEAN,397600
11455,-118.01,33.66,19,4559,1045.0,1949,910,4.355,NEAR OCEAN,429200
11456,-118.0,33.66,25,4041,903.0,1689,784,4.2289,NEAR OCEAN,442700
11457,-118.02,33.65,38,2548,646.0,755,399,2.8352,NEAR OCEAN,408300
11465,-118.0,33.66,16,2809,708.0,1260,638,3.2353,NEAR OCEAN,252900
11468,-118.02,33.62,11,3969,834.0,1508,754,4.3409,NEAR OCEAN,271400
