,longitude,latitude,total_rooms,house_value
339,-122.18,37.75,330,80700
340,-122.18,37.75,941,87100
341,-122.17,37.75,992,85100
342,-122.18,37.75,990,82000
343,-122.19,37.75,1126,82800
344,-122.18,37.75,1036,84600
345,-122.18,37.75,1047,82100
346,-122.17,37.76,1280,89300
347,-122.17,37.75,1587,98300
348,-122.17,37.75,1257,92300
349,-122.17,37.75,1218,88800
350,-122.17,37.75,1751,90000
351,-122.16,37.76,2299,95500
352,-122.16,37.75,2457,91700
353,-122.17,37.75,998,100400
354,-122.17,37.76,1685,94800
355,-122.16,37.76,1827,164300
356,-122.16,37.76,2781,155500
357,-122.15,37.76,1823,196900
358,-122.14,37.77,2229,279100
359,-122.14,37.76,1513,252800
360,-122.13,37.76,3266,275400
361,-122.12,37.75,1809,250000
362,-122.12,37.75,794,329800
363,-122.14,37.75,690,195500
364,-122.14,37.75,1334,255900
365,-122.13,37.75,414,311100
366,-122.13,37.75,768,330000
367,-122.13,37.74,4400,248900
368,-122.16,37.75,954,142900
369,-122.15,37.75,1445,126300
370,-122.15,37.75,1938,135800
371,-122.15,37.74,856,130600
372,-122.16,37.75,1790,107900
373,-122.16,37.75,617,111100
374,-122.15,37.74,1383,122000
375,-122.15,37.74,1325,118000
376,-122.16,37.75,1227,95200
377,-122.16,37.75,667,94300
378,-122.17,37.74,1223,92500
379,-122.17,37.75,1379,91800
380,-122.16,37.74,1534,109400
381,-122.16,37.74,1029,129500
382,-122.16,37.74,771,143400
383,-122.16,37.74,824,98200
384,-122.16,37.74,1097,103100
385,-122.29,37.9,1283,276800
386,-122.29,37.9,1604,270900
387,-122.29,37.89,2248,246200
388,-122.3,37.9,2263,224200
389,-122.29,37.89,1571,229100
390,-122.3,37.89,1520,211600
391,-122.3,37.9,5083,256100
392,-122.3,37.89,1077,206300
393,-122.3,37.89,1248,221300
394,-122.33,37.89,1342,207400
395,-122.34,37.88,3061,350000
396,-122.29,37.89,3171,218200
397,-122.29,37.88,1211,216700
398,-122.29,37.89,979,270600
399,-122.29,37.89,2269,261400
400,-122.28,37.88,1844,261300
401,-122.29,37.89,2178,232200
402,-122.27,37.9,1650,375400
403,-122.26,37.9,1927,357300
404,-122.27,37.9,2079,374400
405,-122.27,37.9,1803,358800
406,-122.27,37.9,2041,417500
407,-122.27,37.89,3046,430500
408,-122.28,37.9,2318,362900
409,-122.28,37.9,2003,397000
410,-122.28,37.9,2261,346800
411,-122.28,37.89,1225,327100
412,-122.28,37.89,2315,290100
413,-122.28,37.89,2070,292000
414,-122.28,37.89,2616,270900
415,-122.27,37.89,2640,371100
416,-122.27,37.89,1978,335600
417,-122.26,37.9,2220,371300
418,-122.25,37.89,1125,344000
419,-122.26,37.89,3078,342200
420,-122.26,37.89,3706,370900
421,-122.25,37.89,3000,350000
422,-122.25,37.89,2863,368600
423,-122.26,37.88,2551,391800
424,-122.26,37.88,2255,415300
425,-122.27,37.88,3360,284900
426,-122.27,37.88,1693,287500
427,-122.27,37.88,2252,272900
428,-122.28,37.88,2495,259600
429,-122.28,37.88,1193,254500
430,-122.28,37.88,1172,235600
431,-122.29,37.88,2159,218400
432,-122.29,37.88,2365,229200
433,-122.29,37.88,1895,192100
434,-122.29,37.88,1650,179300
435,-122.3,37.88,453,187500
436,-122.3,37.88,409,138800
437,-122.3,37.87,503,150000
438,-122.3,37.86,499,140600
439,-122.29,37.85,477,120000
440,-122.3,37.88,1647,144800
441,-122.3,37.87,3123,144800
442,-122.28,37.88,957,245500
443,-122.28,37.87,589,200000
444,-122.28,37.87,2026,173700
445,-122.29,37.87,1829,185600
446,-122.29,37.87,895,182600
447,-122.28,37.88,1909,227900
448,-122.28,37.87,3022,220700
449,-122.28,37.87,1777,212000
450,-122.27,37.88,2803,271400
451,-122.27,37.87,1465,268800
452,-122.27,37.88,2619,277800
453,-122.26,37.88,1149,332500
454,-122.26,37.88,2363,338900
455,-122.26,37.88,2604,287500
456,-122.25,37.87,685,384600
457,-122.25,37.87,1756,371400
458,-122.25,37.87,1204,350000
459,-122.25,37.87,609,500001
460,-122.26,37.87,1087,175000
461,-122.26,37.87,2773,241700
462,-122.27,37.87,3218,216700
463,-122.27,37.87,1350,211300
464,-122.27,37.87,3084,210200
465,-122.28,37.86,938,196400
466,-122.28,37.87,1813,191700
467,-122.28,37.87,1233,182300
468,-122.29,37.87,2539,175000
469,-122.29,37.87,1267,165900
470,-122.29,37.86,1665,156900
471,-122.28,37.86,1659,164300
472,-122.29,37.87,2225,150000
473,-122.29,37.86,2485,150500
474,-122.28,37.86,2031,169900
475,-122.28,37.86,2932,147400
476,-122.28,37.85,2246,152700
477,-122.27,37.86,2052,182700
478,-122.28,37.86,1999,179300
479,-122.28,37.86,3007,157700
480,-122.28,37.86,2214,153100
481,-122.27,37.86,1088,250000
482,-122.27,37.86,834,206300
483,-122.27,37.86,1769,218800
484,-122.27,37.86,2307,198200
485,-122.26,37.86,5161,253600
486,-122.26,37.86,3497,257400
487,-122.26,37.86,3774,289500
488,-122.26,37.86,2888,241700
489,-122.25,37.86,2153,489600
490,-122.25,37.86,1389,446200
491,-122.25,37.86,1709,456300
492,-122.25,37.86,1587,336800
493,-122.24,37.86,1668,500001
494,-122.24,37.85,3726,500001
495,-122.25,37.86,4048,376900
496,-122.26,37.85,3618,309600
497,-122.27,37.85,4076,182300
498,-122.27,37.85,2077,172700
499,-122.27,37.85,1279,150800
500,-122.27,37.85,1974,153600
501,-122.27,37.85,335,106300
502,-122.27,37.85,1375,142300
503,-122.28,37.85,610,119400
504,-122.28,37.85,1025,147900
505,-122.28,37.85,2063,132900
506,-122.29,37.84,1872,132500
507,-122.28,37.83,3108,126900
508,-122.3,37.84,7355,143800
509,-122.23,37.83,2990,500001
510,-122.22,37.82,2492,500001
511,-122.22,37.82,2991,500001
512,-122.23,37.82,3242,500001
513,-122.23,37.82,3051,466100
514,-122.23,37.82,3494,500001
515,-122.24,37.83,1757,457800
516,-122.24,37.83,2449,471600
517,-122.23,37.82,1611,500001
518,-122.24,37.82,3665,398600
519,-122.25,37.82,2474,340700
520,-122.23,37.76,3037,289900
521,-122.23,37.76,2269,335300
522,-122.23,37.76,1316,333000
523,-122.24,37.77,1153,241000
524,-122.23,37.77,772,189600
525,-122.24,37.77,1711,206300
526,-122.25,37.77,2650,215700
527,-122.25,37.77,1038,210200
528,-122.25,37.77,1527,208800
529,-122.25,37.77,859,197900
530,-122.26,37.78,970,201300
531,-122.26,37.78,1045,190800
532,-122.27,37.78,1408,207900
533,-122.27,37.78,1222,215300
534,-122.27,37.78,1169,212900
535,-122.27,37.78,2020,292700
536,-122.28,37.79,4145,275000
537,-122.3,37.77,2038,200000
538,-122.28,37.78,5154,173400
539,-122.29,37.78,1241,102200
540,-122.28,37.77,1468,220800
541,-122.28,37.77,3997,242800
542,-122.29,37.76,2873,265400
543,-122.28,37.78,1487,219000
544,-122.26,37.77,1670,282100
545,-122.27,37.77,2252,372000
546,-122.27,37.77,1731,225800
547,-122.27,37.77,1710,220800
548,-122.27,37.77,2388,234500
549,-122.25,37.77,2156,254200
550,-122.26,37.77,1565,351800
551,-122.26,37.77,1704,275000
552,-122.26,37.77,1210,405400
553,-122.26,37.77,2097,228100
554,-122.26,37.77,1848,234000
555,-122.24,37.77,955,162500
556,-122.25,37.77,4329,243400
557,-122.23,37.76,3011,273800
558,-122.23,37.76,1049,248500
559,-122.24,37.76,2504,244000
560,-122.24,37.76,1846,240900
561,-122.23,37.76,1705,306300
562,-122.23,37.75,1542,240000
563,-122.24,37.75,891,247100
564,-122.24,37.75,4051,286600
565,-122.24,37.76,2646,266700
566,-122.24,37.76,2428,229800
567,-122.24,37.76,2567,229300
568,-122.24,37.73,7031,228400
569,-122.25,37.74,1914,206200
570,-122.24,37.72,18634,350700
571,-122.27,37.73,5785,231000
572,-122.25,37.76,2876,252900
573,-122.27,37.74,6909,353900
574,-122.27,37.77,5679,291700
575,-122.28,37.75,1156,100000
576,-122.06,37.77,14316,341600
577,-122.06,37.73,3596,412500
578,-122.06,37.71,3541,248600
579,-122.07,37.71,1808,254900
580,-122.07,37.71,2879,241500
581,-122.07,37.72,3204,295200
582,-122.08,37.72,3866,340400
583,-122.08,37.72,2476,274700
584,-122.08,37.71,2211,238600
585,-122.09,37.71,2663,266400
586,-122.1,37.72,2599,330200
587,-122.11,37.71,4569,206800
588,-122.1,37.7,2973,209200
589,-122.1,37.69,3115,195800
590,-122.09,37.71,1843,253500
591,-122.09,37.7,2053,241800
592,-122.1,37.71,6740,252500
593,-122.09,37.7,1751,263900
594,-122.08,37.71,1663,227000
595,-122.08,37.71,3716,220900
596,-122.08,37.7,2718,259300
597,-122.07,37.7,1420,232500
598,-122.06,37.7,1893,231600
599,-122.06,37.7,3906,209400
600,-122.07,37.7,3400,223200
601,-122.08,37.7,3402,209900
602,-122.09,37.7,4413,208200
603,-122.07,37.69,2304,203800
604,-122.08,37.69,2350,195700
605,-122.07,37.69,5914,190500
606,-122.08,37.69,1575,181000
607,-122.08,37.69,1414,184900
608,-122.08,37.68,848,190800
609,-122.08,37.68,3051,242200
610,-122.09,37.69,4296,188300
611,-122.15,37.74,2898,183500
612,-122.14,37.74,1071,204200
613,-122.14,37.73,2619,251900
614,-122.15,37.74,1494,187500
615,-122.16,37.73,2260,198200
616,-122.15,37.74,1394,219000
617,-122.15,37.73,1028,275000
618,-122.15,37.73,3758,245400
619,-122.17,37.73,2163,177500
620,-122.16,37.73,1699,171600
621,-122.17,37.73,1555,183300
622,-122.16,37.73,1114,175000
623,-122.18,37.72,1498,156700
624,-122.18,37.71,726,157500
625,-122.17,37.71,890,179800
626,-122.18,37.7,2639,205500
627,-122.18,37.7,2562,178900
628,-122.19,37.71,361,262500
629,-122.17,37.72,3008,165000
630,-122.17,37.72,1369,159700
631,-122.17,37.72,1692,158300
632,-122.16,37.72,1007,144800
633,-122.17,37.72,3783,166300
634,-122.16,37.71,1507,191000
635,-122.16,37.71,666,175000
636,-122.16,37.72,2229,137500
637,-122.15,37.73,2215,141700
638,-122.15,37.72,1616,210900
639,-122.15,37.72,1190,198300
640,-122.15,37.72,4169,157400
641,-122.14,37.73,2024,264700
642,-122.14,37.73,1723,218400
643,-122.14,37.73,2264,235100
644,-122.13,37.73,1996,341800
645,-122.13,37.72,2862,367300
646,-122.13,37.72,2183,243500
647,-122.12,37.71,1037,167900
648,-122.13,37.72,1134,371200
649,-122.14,37.72,786,218900
650,-122.14,37.72,1397,202700
651,-122.13,37.72,2315,186200
652,-122.13,37.71,1613,188900
653,-122.13,37.71,1421,180000
654,-122.15,37.71,5778,202700
655,-122.14,37.71,3094,181700
656,-122.14,37.71,3905,166800
657,-122.13,37.7,3046,183700
658,-122.13,37.7,3516,218000
659,-122.15,37.71,998,191500
660,-122.15,37.7,1464,194700
661,-122.14,37.7,1463,187200
662,-122.13,37.7,4124,223100
663,-122.13,37.69,2380,271300
664,-122.14,37.7,1266,194100
665,-122.16,37.7,2239,190400
666,-122.14,37.69,1571,189100
667,-122.15,37.69,1246,184600
668,-122.15,37.69,1501,197300
669,-122.15,37.7,1468,192600
670,-122.16,37.69,1118,192200
671,-122.16,37.7,1097,194600
672,-122.16,37.7,1719,193500
673,-122.17,37.7,1755,202600
674,-122.16,37.68,1687,83300
675,-122.17,37.69,2262,212600
676,-122.18,37.68,2087,187800
677,-122.16,37.69,1480,205700
678,-122.15,37.69,1545,192900
679,-122.15,37.68,2632,205200
680,-122.15,37.68,2261,213400
681,-122.15,37.69,1670,183600
682,-122.14,37.69,2141,178400
683,-122.14,37.68,3337,219200
684,-122.14,37.68,3184,183100
685,-122.1,37.69,2341,157100
686,-122.12,37.69,1197,157800
687,-122.13,37.69,1131,161700
688,-122.12,37.71,1164,152100
689,-122.12,37.7,3495,144900
690,-122.12,37.7,2488,179900
691,-122.12,37.69,2681,179100
692,-122.12,37.7,2495,159900
693,-122.11,37.7,1689,161400
694,-122.11,37.7,1298,170400
695,-122.11,37.7,2693,137500
696,-122.1,37.69,746,178400
697,-122.11,37.69,2444,155200
698,-122.11,37.69,1472,160900
699,-122.12,37.69,2227,167300
700,-122.03,37.69,200,340000
701,-121.97,37.64,1283,431000
702,-122.02,37.63,2445,301100
703,-122.04,37.63,1307,241900
704,-122.05,37.63,3785,162500
705,-122.04,37.66,2031,299200
706,-122.04,37.65,8299,315500
707,-122.05,37.68,7518,216800
708,-122.07,37.68,1815,218100
709,-122.06,37.68,5367,170300
710,-122.08,37.68,1167,275000
711,-122.08,37.68,2607,184100
712,-122.08,37.67,493,160000
713,-122.09,37.67,1252,175000
714,-122.09,37.68,1382,197500
715,-122.09,37.69,500,150000
716,-122.09,37.68,2333,205600
717,-122.09,37.68,1834,170300
718,-122.09,37.68,1415,190900
719,-122.1,37.68,1352,196900
720,-122.1,37.68,2116,174000
721,-122.11,37.68,1976,170200
722,-122.1,37.68,1779,180900
723,-122.1,37.67,3659,150500
724,-122.1,37.68,1892,167100
725,-122.12,37.68,1958,148900
726,-122.12,37.68,1553,196400
727,-122.12,37.68,2412,191100
728,-122.11,37.67,2110,187500
729,-122.12,37.68,2179,180600
730,-122.13,37.68,2457,182800
731,-122.13,37.68,2147,179300
732,-122.13,37.68,1676,179400
733,-122.14,37.68,2976,210300
734,-122.14,37.67,3036,192300
735,-122.15,37.67,2472,198100
736,-122.14,37.67,1487,196200
737,-122.13,37.67,2012,181600
738,-122.14,37.67,3342,186900
739,-122.14,37.67,3156,188300
740,-122.13,37.67,1748,184000
741,-122.12,37.67,3429,184700
742,-122.13,37.67,3592,179900
743,-122.11,37.67,1035,167200
744,-122.11,37.67,3028,165400
745,-122.09,37.67,2431,154000
746,-122.09,37.67,2069,153500
747,-122.09,37.66,1340,135400
748,-122.09,37.66,1160,158300
749,-122.05,37.68,2015,240700
750,-122.06,37.67,3882,180700
751,-122.07,37.67,3239,230600
752,-122.07,37.67,2932,210800
753,-122.07,37.67,2104,165300
754,-122.04,37.67,1694,254200
755,-122.04,37.67,3000,332600
756,-122.04,37.66,2419,350000
757,-122.07,37.66,2280,161200
758,-122.07,37.66,5031,179300
759,-122.08,37.66,1547,154300
760,-122.07,37.65,3300,161800
761,-122.08,37.65,5018,161900
762,-122.08,37.65,1813,165400
763,-122.08,37.66,1997,166600
764,-122.1,37.66,901,149700
765,-122.1,37.66,686,162100
766,-122.1,37.66,1954,152600
767,-122.09,37.65,2630,195200
768,-122.09,37.65,1130,190600
769,-122.09,37.65,1184,193800
770,-122.1,37.66,656,200600
771,-122.11,37.66,2544,150000
772,-122.1,37.66,1305,185300
773,-122.11,37.66,1755,172700
774,-122.11,37.66,2843,174100
775,-122.1,37.65,2538,194400
776,-122.1,37.64,1784,206700
777,-122.1,37.65,1797,204500
778,-122.1,37.65,410,175000
779,-122.12,37.65,162,137500
780,-122.1,37.63,9963,187200
781,-122.1,37.61,2361,173600
782,-122.13,37.66,862,163000
783,-122.11,37.65,4335,331600
784,-122.11,37.64,1487,197600
785,-122.11,37.64,3592,197900
786,-122.12,37.64,432,228100
787,-122.09,37.63,1457,189500
788,-122.09,37.64,1578,184200
789,-122.1,37.63,2172,180900
790,-122.08,37.64,1340,172000
791,-122.08,37.64,1116,177900
792,-122.09,37.64,1885,173100
793,-122.09,37.64,1180,172600
794,-122.08,37.64,5267,182100
795,-122.08,37.64,1897,179500
796,-122.08,37.63,767,176000
797,-122.08,37.63,691,192600
798,-122.08,37.64,786,182700
799,-122.07,37.64,5861,134900
800,-122.07,37.63,2784,157600
801,-122.07,37.64,4524,190900
802,-122.06,37.64,1468,158200
803,-122.06,37.64,1655,350000
804,-122.06,37.65,1227,158200
805,-122.06,37.64,1160,146100
806,-122.04,37.63,952,226700
807,-122.03,37.62,2072,198700
808,-122.03,37.62,2964,221200
809,-122.04,37.62,1032,208500
810,-122.04,37.62,657,204200
811,-122.04,37.62,1540,193200
812,-122.03,37.62,1298,209500
813,-122.03,37.61,1409,164900
814,-122.03,37.61,1383,161400
815,-122.04,37.61,1151,187000
816,-122.04,37.62,899,190400
817,-122.08,37.63,1793,156600
818,-122.08,37.62,2485,157300
819,-122.07,37.63,1931,168100
820,-122.07,37.63,2329,177600
821,-122.06,37.63,6711,208900
822,-122.06,37.63,1939,169200
823,-122.05,37.61,1642,163900
824,-122.08,37.63,1619,164700
825,-122.08,37.63,517,156900
826,-122.09,37.63,1570,168800
827,-122.09,37.63,1213,174100
828,-122.08,37.62,1826,206500
